MAPPO update 0/4882 | env_steps=0 | return=-74.867 | actor_loss=-0.0218 | value_loss=27.5716 | entropy=1.6056
MAPPO update 1/4882 | env_steps=2,048 | return=-84.725 | actor_loss=-0.0227 | value_loss=25.0891 | entropy=1.5972
MAPPO update 2/4882 | env_steps=4,096 | return=-84.724 | actor_loss=-0.0233 | value_loss=21.7847 | entropy=1.5892
MAPPO update 3/4882 | env_steps=6,144 | return=-80.345 | actor_loss=-0.0233 | value_loss=19.7358 | entropy=1.5878
MAPPO update 4/4882 | env_steps=8,192 | return=-79.368 | actor_loss=-0.0253 | value_loss=18.0113 | entropy=1.5758
MAPPO update 5/4882 | env_steps=10,240 | return=-80.665 | actor_loss=-0.0249 | value_loss=15.0675 | entropy=1.5673
MAPPO update 6/4882 | env_steps=12,288 | return=-79.362 | actor_loss=-0.0243 | value_loss=14.5947 | entropy=1.5618
MAPPO update 7/4882 | env_steps=14,336 | return=-64.026 | actor_loss=-0.0234 | value_loss=11.4520 | entropy=1.5587
MAPPO update 8/4882 | env_steps=16,384 | return=-80.982 | actor_loss=-0.0243 | value_loss=10.2627 | entropy=1.5453
MAPPO update 9/4882 | env_steps=18,432 | return=-86.924 | actor_loss=-0.0245 | value_loss=8.9672 | entropy=1.5368
MAPPO update 10/4882 | env_steps=20,480 | return=-74.173 | actor_loss=-0.0248 | value_loss=5.5760 | entropy=1.5348
MAPPO update 11/4882 | env_steps=22,528 | return=-84.544 | actor_loss=-0.0242 | value_loss=5.6808 | entropy=1.5205
MAPPO update 12/4882 | env_steps=24,576 | return=-77.972 | actor_loss=-0.0242 | value_loss=4.1803 | entropy=1.5122
MAPPO update 13/4882 | env_steps=26,624 | return=-77.978 | actor_loss=-0.0250 | value_loss=4.0328 | entropy=1.5007
MAPPO update 14/4882 | env_steps=28,672 | return=-69.641 | actor_loss=-0.0251 | value_loss=2.5169 | entropy=1.5053
MAPPO update 15/4882 | env_steps=30,720 | return=-84.843 | actor_loss=-0.0262 | value_loss=3.0450 | entropy=1.5043
MAPPO update 16/4882 | env_steps=32,768 | return=-68.865 | actor_loss=-0.0230 | value_loss=2.6027 | entropy=1.4903
MAPPO update 17/4882 | env_steps=34,816 | return=-67.377 | actor_loss=-0.0251 | value_loss=1.6121 | entropy=1.4757
MAPPO update 18/4882 | env_steps=36,864 | return=-62.518 | actor_loss=-0.0246 | value_loss=1.4412 | entropy=1.4761
MAPPO update 19/4882 | env_steps=38,912 | return=-72.141 | actor_loss=-0.0255 | value_loss=1.2668 | entropy=1.4822
MAPPO update 20/4882 | env_steps=40,960 | return=-72.279 | actor_loss=-0.0257 | value_loss=1.3926 | entropy=1.4678
MAPPO update 21/4882 | env_steps=43,008 | return=-57.770 | actor_loss=-0.0266 | value_loss=1.3524 | entropy=1.4565
MAPPO update 22/4882 | env_steps=45,056 | return=-64.747 | actor_loss=-0.0248 | value_loss=1.0470 | entropy=1.4601
MAPPO update 23/4882 | env_steps=47,104 | return=-70.128 | actor_loss=-0.0269 | value_loss=1.4297 | entropy=1.4555
MAPPO update 24/4882 | env_steps=49,152 | return=-68.993 | actor_loss=-0.0241 | value_loss=1.0206 | entropy=1.4462
MAPPO update 25/4882 | env_steps=51,200 | return=-63.860 | actor_loss=-0.0272 | value_loss=0.9474 | entropy=1.4426
MAPPO update 26/4882 | env_steps=53,248 | return=-64.143 | actor_loss=-0.0276 | value_loss=1.0127 | entropy=1.4282
MAPPO update 27/4882 | env_steps=55,296 | return=-69.357 | actor_loss=-0.0255 | value_loss=0.9202 | entropy=1.4070
MAPPO update 28/4882 | env_steps=57,344 | return=-61.704 | actor_loss=-0.0251 | value_loss=0.7213 | entropy=1.3894
MAPPO update 29/4882 | env_steps=59,392 | return=-67.416 | actor_loss=-0.0253 | value_loss=0.9662 | entropy=1.3805
MAPPO update 30/4882 | env_steps=61,440 | return=-70.513 | actor_loss=-0.0250 | value_loss=0.8606 | entropy=1.3888
MAPPO update 31/4882 | env_steps=63,488 | return=-65.110 | actor_loss=-0.0268 | value_loss=1.0711 | entropy=1.3780
MAPPO update 32/4882 | env_steps=65,536 | return=-59.831 | actor_loss=-0.0262 | value_loss=0.6016 | entropy=1.3444
MAPPO update 33/4882 | env_steps=67,584 | return=-65.649 | actor_loss=-0.0278 | value_loss=0.6759 | entropy=1.3773
MAPPO update 34/4882 | env_steps=69,632 | return=-64.000 | actor_loss=-0.0288 | value_loss=0.6485 | entropy=1.3526
MAPPO update 35/4882 | env_steps=71,680 | return=-70.196 | actor_loss=-0.0270 | value_loss=0.7768 | entropy=1.3491
MAPPO update 36/4882 | env_steps=73,728 | return=-63.309 | actor_loss=-0.0282 | value_loss=0.5690 | entropy=1.3337
MAPPO update 37/4882 | env_steps=75,776 | return=-65.226 | actor_loss=-0.0283 | value_loss=0.6865 | entropy=1.3450
MAPPO update 38/4882 | env_steps=77,824 | return=-63.601 | actor_loss=-0.0275 | value_loss=0.5230 | entropy=1.3545
MAPPO update 39/4882 | env_steps=79,872 | return=-67.753 | actor_loss=-0.0267 | value_loss=0.6887 | entropy=1.3528
MAPPO update 40/4882 | env_steps=81,920 | return=-57.833 | actor_loss=-0.0263 | value_loss=0.6809 | entropy=1.3556
MAPPO update 41/4882 | env_steps=83,968 | return=-64.650 | actor_loss=-0.0275 | value_loss=0.6995 | entropy=1.3318
MAPPO update 42/4882 | env_steps=86,016 | return=-65.336 | actor_loss=-0.0279 | value_loss=0.5508 | entropy=1.3048
